"","Tempo","Amostra","Percentual","Bacillariophyta","Charophyta","Chlorophyta","Cryptophyta","Cyanobacteria","Euglenozoa","Ochrophyta"
"2",0,"1","0",1215,83,3502,125,515826,166,0
"1",0,"2","0",690,101,4184,913,495612,152,0
"11",0,"3","0",1359,0,2299,177,450710,44,0
"12",0,"4","0",1108,0,2909,349,425141,0,0
"13",0,"5","0",1228,44,3823,155,378631,44,0
"14",0,"6","0",813,0,2040,478,403022,87,0
"15",72,"1","100",3976,2609,3234,626,608674,52,0
"16",72,"2","100",221868,85334,221718,20211,25334760,11228,0
"17",72,"3","100",1575,674,853,112,186648,62,0
"18",72,"4","0",379,112,3703,393,389496,0,0
"19",72,"5","0",13912,3619,26035,1206,3230362,1508,0
"110",72,"6","0",8787,7065,13962,1544,2349226,712,0
"111",168,"1","100",5655,3162,5130,846,899905,223,0
"112",168,"2","100",4977,3505,5144,803,656123,137,0
"113",168,"3","100",6079,1952,3843,320,630314,331,0
"114",168,"4","0",1327,985,2112,343,438687,86,0
"115",168,"5","0",7088,4856,16618,1005,2247892,670,167
"116",168,"6","0",8226,6969,7341,1628,1780519,771,0
"117",336,"1","<70",14122,1765,12178,2900,1706829,63,0
"118",336,"2","<70",17059,4452,13021,1863,1441670,1043,801
"119",336,"3","<70",18154,5265,14864,1645,1227544,1382,132
"120",336,"4","0",5653,891,1933,260,595864,192,0
"121",336,"5","0",46168,11463,79192,6659,7688710,1747,0
"122",336,"6","0",13637,3808,27799,1063,4350334,974,0
"123",504,"1","<70",10257,5148,9971,1113,1751455,487,70
"124",504,"2","<70",11763,6258,9346,1145,1691342,229,0
"125",504,"3","<70",11861,7273,7735,1265,1921800,443,0
"126",504,"4","0",4895,8900,4259,668,2005644,223,0
"127",504,"5","0",3126,6455,7034,145,1567402,0,0
"128",504,"6","0",7289,4692,6348,276,2680160,0,0
"129",720,"1","<50",5584,3799,6001,475,1224285,339,0
"130",720,"2","<50",8084,5994,3731,1447,1433545,207,103
"131",720,"3","<50",10815,12539,11919,2409,2187194,425,0
"132",720,"4","0",8159,15647,11686,1649,2333839,210,0
"133",720,"5","0",4239,8832,7170,1766,2477514,258,0
"134",720,"6","0",11020,12476,16273,3255,2451791,1085,0
